time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.93009014432e-07,-6.89455874052e-08,10.0022112703,6.2830644662,0.000286616467829,0.0,-2.51961374109e-05,-7.89343043843e-06,0.0737064506645,-0.00638173999808,0.012936628322,0.0,426.86703432966124,427.96928930067,429.8024554278603,429.26138929788647
0.12000000000000001,-1.16602818307e-05,-4.81728306619e-06,10.0108754616,6.28256180026,0.00142436346504,0.0,-0.000459488638452,-0.000197904544295,0.215083020538,-0.0127028619161,0.0288919215953,0.0,448.4970738512547,449.79081315685545,450.81006216837403,450.29921664703556
0.18,-7.5511337782e-05,-3.25346585065e-05,10.0269626997,6.28190275064,0.00295571477372,0.0,-0.0018378912638,-0.000798905936586,0.321133320763,-0.00775111276956,0.0177502344021,0.0,439.3223128414237,438.3978024585135,438.69257049909163,439.1035955594852
0.23999999999999996,-0.000264385880972,-0.000114643365551,10.0535066504,6.28137962734,0.00400560724033,0.0,-0.00458783134532,-0.00199866296471,0.563576173082,-0.0107278186005,0.0169893598716,0.0,480.27795998096803,480.2201594639488,480.0970214814274,479.87127729436264
0.3,-0.000637631204753,-0.000278067393137,10.0928550085,6.28147462844,0.00553220594371,0.0,-0.00800341076134,-0.00347165360865,0.74793219409,0.0188943966787,0.0384952846733,0.0,462.61166378142866,464.30182022606266,461.87848392832575,464.20846967759866
0.36000000000000004,-0.00125754093649,-0.000521345590502,10.1434579085,6.28272393584,0.00812062310879,0.0,-0.0129436779476,-0.0044995757762,0.938692092811,0.0244216582218,0.0511032246885,0.0,465.66783009395994,466.653825755565,464.43165377507376,464.86488098702193
0.4200000000000001,-0.00219697276728,-0.000794965365776,10.2008607259,0.000779682956806,0.011174386554,0.0,-0.0186536022647,-0.00449466187082,0.974702273272,0.0119045090876,0.0504786241518,0.0,416.71526255306316,416.6625065691364,417.899104525448,416.8067538300306
0.48000000000000015,-0.00356949863851,-0.00104515970714,10.2631418978,0.00135744372673,0.0151713399046,0.0,-0.0274801221095,-0.0037763612393,1.10121817848,0.00463909708411,0.0874736339416,0.0,445.4420724028873,448.45976478962405,445.78409596613596,445.18996812311445
0.5400000000000001,-0.00564638637286,-0.00123364123594,10.338055949,0.00212591979944,0.020634424095,0.0,-0.0424458496925,-0.00243363902409,1.39559280805,0.0255141618276,0.0973838233772,0.0,495.83160244209057,496.56501809571193,495.0132057952711,496.5466860243313
0.6000000000000002,-0.00858439978748,-0.00133614150085,10.4221461738,0.00380404744435,0.0260759571655,0.0,-0.0559942994798,-0.000840034137384,1.40738789697,0.0324736876259,0.0719158257202,0.0,410.9148202582102,408.6584920820615,409.9007028630549,410.51893044843115
0.6600000000000003,-0.0125502947522,-0.00129231330903,10.5114867074,0.00601339212002,0.0301363312047,0.0,-0.0766647426316,0.00253275994588,1.57040543742,0.0443438609929,0.0574474641423,0.0,459.06017939994587,457.91401017410845,458.01207071411125,458.95564249338196
0.7200000000000003,-0.017753169316,-0.00101295753074,10.6076201042,0.00877851942448,0.0330194616829,0.0,-0.0970840151907,0.0070407071023,1.63393930828,0.0493580551116,0.0122372367135,0.0,429.0162240120113,425.1617434530897,428.1864552820137,428.6141118762395
0.7800000000000004,-0.0243745170325,-0.000366475952341,10.7119977655,0.0119222244827,0.033922563245,0.0,-0.123714955477,0.0148678793615,1.84499150683,0.0578641127547,0.0201576410872,0.0,471.99850236341257,472.6092041637366,474.3923758186546,475.04660061331884
0.8400000000000004,-0.0325560537762,0.000804469354873,10.8272408474,0.015200575577,0.0351459905889,0.0,-0.149128041392,0.0245311972451,1.99618162788,0.047253960972,0.0208520265318,0.0,456.00918125788985,456.064610582509,456.9438313273009,456.0991714566278
0.9000000000000005,-0.0421766510292,0.00257512967471,10.9483571866,0.0178924485628,0.0363657804523,0.0,-0.171672237656,0.0347492137954,2.04094046363,0.0395989815115,0.0192645364532,0.0,422.22287449546087,422.0859020868333,424.46372319678966,423.8075655255907
0.9600000000000005,-0.0533741041786,0.00510969135274,11.0776406251,0.0197073388125,0.0378955759931,0.0,-0.201726333682,0.0500014790559,2.26807102871,-0.00509919274995,0.0357065331268,0.0,479.4555809483821,480.7031326800919,480.85908641519694,477.46143120792516
1.0200000000000005,-0.0662900527408,0.00852546415691,11.2172220588,0.0192594935904,0.0408471131613,0.0,-0.229071739284,0.0638138170701,2.38439457367,-0.0126718831618,0.0676524534432,0.0,445.5303174918903,448.13586112239807,447.90499220106983,447.2888374329464
1.0800000000000005,-0.0807342889135,0.0126752174085,11.3594130687,0.0184806580202,0.045341716672,0.0,-0.252763034025,0.0744481775867,2.35534864394,-0.0136052535701,0.0864679042006,0.0,399.5280388726895,401.2447789320592,399.52466551986026,399.4396552411822
1.1400000000000006,-0.0968882460277,0.0175327199659,11.5043819077,0.0172298080337,0.0502858810875,0.0,-0.286225392459,0.0873616059599,2.47666194122,-0.0420925961463,0.0726982256225,0.0,449.11583931334474,448.0030440007979,451.0577053450318,448.75118251498657
1.2000000000000006,-0.115213913675,0.0231514732077,11.6578205907,0.0143151743142,0.0550096651913,0.0,-0.325119401694,0.0996269330158,2.63757519274,-0.0665085997769,0.0886625359794,0.0,461.09464538620375,462.3586940063288,463.14277260318715,461.2169429040413
1.2600000000000007,-0.135927383428,0.0294210631014,11.819913184,0.0105843281048,0.0602044981224,0.0,-0.365871726683,0.108946071947,2.76517682093,-0.054692305585,0.0820558180503,0.0,452.47425166490694,451.94810646965743,452.52162931617124,453.46904204124587
